IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CMUS,NANTES,73115,7023681,45.606368,-70.932738,476.898,MSC,CA,AUTO,Quebec
CNBB,KUGAARUK CLIMATE,71407,2303094,68.53743,-89.788915,17.6,MSC,CA,AUTO,Nunavut
CNBI,BATHURST INLET,71874,2300551,66.837724,-108.014693,6.982,MSC,CA,AUTO,Nunavut
CNCD,KINNGAIT,71575,2400636,64.230626,-76.530694,50.569,MSC,CA,AUTO,Nunavut
CNCN,CLINTON,71474,1161663,51.145064,-121.504788,1058.958,MSC,CA,AUTO,British Columbia
CNCO,KUGLUKTUK CLIMATE,71332,2300904,67.8172,-115.1353,24.400,MSC,CA,AUTO,Nunavut
CNCS,CHESTERFIELD INLET AIRPORT,73101,2300708,63.344966,-90.731997,12.380,MSC,CA,AUTO,Nunavut
CNDT,POND INLET CLIMATE,71576,2403204,72.69313,-77.95735,66.164,MSC,CA,AUTO,Nunavut
CNEK,EUREKA CLIMATE,71613,2401199,79.9892,-85.9339,11.0,MSC,CA,AUTO,Nunavut
CNES,EDMONTON SOUTH CAMPUS,,3012220,53.490014,-113.537778,670.0,GovAB,CA,AUTO,Alberta
CNFR,FORT ROSS,71629,2402051,72.018061,-94.200462,9.255,MSC,CA,AUTO,Nunavut
CNGC,GRISE FIORD CLIMATE,71971,2402351,76.422476,-82.90115,35.665,MSC,CA,AUTO,Nunavut
CNGH,GATESHEAD ISLAND,71141,2402332,70.632757,-100.267154,19.568,MSC,CA,AUTO,Nunavut
CNPK,PEKISKO,71669,3055119,50.368512,-114.415459,1408.901,MSC,CA,AUTO,Alberta
CNPL,CAPE LIVERPOOL,,2400675,73.668041,-78.294694,3.886,MSC,CA,AUTO,Nunavut
CNPV,CAPE PROVIDENCE,,2501419,74.456602,-112.160413,5.801,MSC,CA,AUTO,Northwest Territories
CNSG,SVARTEVAEG,71872,2403833,81.161196,-91.816114,71.894,MSC,CA,AUTO,Nunavut
CNSQ,SANIKILUAQ,71643,2303668,56.5374,-79.2605,34.0,MSC,CA,AUTO,Nunavut
CNTL,TOMPKINS LANDING AGCM,,3076530,58.020578,-116.847797,343.0,GovAB,CA,AUTO,Alberta
CNVQ,NORMAN WELLS CLIMATE,71480,2202810,65.28757,-126.753851,94.133,MSC,CA,AUTO,Northwest Territories
CNYE,YELLOWKNIFE AIRPORT,73044,2204108,62.474633,-114.449461,205.8,MSC,CA,AUTO,Northwest Territories
CNZS,CORAL HARBOUR RCS,71134,2301010,64.187831,-83.347054,55.09,MSC,CA,AUTO,Nunavut
COBQ,BELLEVILLE QUINTE,73042,6150690,44.159363,-77.439842,95.7,MSC,CA,AUTO,Ontario
COCE,CEDAR SPRINGS,73036,6131418,42.26497,-82.016262,181.973,MSC,CA,AUTO,Ontario
COCP,CHAPLEAU AIRPORT,73135,6061366,47.819258,-83.356448,447.956,MSC,CA,AUTO,Ontario
