IATA,FR name,EN name,Province,AUTO/MAN,Latitude,Longitude,Elevation,# ICAO ID,# WMO ID,# MSC ID,DST Time,STD Time,Data Provider,Data Provider French,Data Attribution Notice,Data Attribution Notice French
366,WHISKEY,WHISKEY,BC,AUTO,51.06533,-116.785,1300,,,BC_WMB_366,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
367,MARION,MARION,BC,AUTO,51.04217,-116.36383,1300,,,BC_WMB_367,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
37,BEAVER CREEK,BEAVER CREEK,BC,AUTO,49.37748,-124.93327,100,,,BC_WMB_37,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
374,SUCCOUR CREEK,SUCCOUR CREEK,BC,AUTO,51.71617,-117.54167,1000,,,BC_WMB_374,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
376,TABERNACLE (WIND),TABERNACLE (WIND),BC,AUTO,51.75133,-117.76133,2438,,,BC_WMB_376,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
379,GOLD HILL,GOLD HILL,BC,AUTO,50.36583,-117.0645,800,,,BC_WMB_379,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
380,POWDER CREEK,POWDER CREEK,BC,AUTO,49.9065,-116.8551,1019,,,BC_WMB_380,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
383,FALLS CREEK,FALLS CREEK,BC,AUTO,50.383,-117.8799,790,,,BC_WMB_383,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
385,DUNCAN,DUNCAN,BC,AUTO,50.78083,-117.1805,1376,,,BC_WMB_385,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
387,TROUT LAKE,TROUT LAKE,BC,AUTO,50.62133,-117.4645,991,,,BC_WMB_387,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
388,KETTLE 2,KETTLE 2,BC,AUTO,49.95998,-118.62603,1389,,,BC_WMB_388,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
390,BEAVERDELL,BEAVERDELL,BC,AUTO,49.457,-119.08833,807,,,BC_WMB_390,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
391,EIGHT MILE,EIGHT MILE,BC,AUTO,49.43283,-118.57833,1338,,,BC_WMB_391,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
392,GRAND FORKS,GRAND FORKS,BC,AUTO,49.0307,-118.4156,630,,,BC_WMB_392,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
393,NICOLL,NICOLL,BC,AUTO,49.52667,-118.36033,866,,,BC_WMB_393,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
394,ROCK CREEK,ROCK CREEK,BC,AUTO,49.052,-118.93667,609,,,BC_WMB_394,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
396,OCTOPUS CREEK,OCTOPUS CREEK,BC,AUTO,49.699,-118.081,1432,,,BC_WMB_396,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
401,GOATFELL,GOATFELL,BC,AUTO,49.12533,-116.16383,1098,,,BC_WMB_401,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
402,PENDOREILLE,PENDOREILLE,BC,AUTO,49.05056,-117.41389,725,,,BC_WMB_402,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
404,SMALLWOOD,SMALLWOOD,BC,AUTO,49.49667,-117.4475,997,,,BC_WMB_404,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
406,SLOCAN,SLOCAN,BC,AUTO,49.78467,-117.44,1230,,,BC_WMB_406,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
407,NANCY GREEN,NANCY GREEN,BC,AUTO,49.2545,-117.99417,1397,,,BC_WMB_407,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
408,NORNS (WIND),NORNS (WIND),BC,AUTO,49.5025,-117.787,2423,,,BC_WMB_408,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
411,PALLISER,PALLISER,BC,AUTO,50.49461,-115.66644,1100,,,BC_WMB_411,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
412,ELKO,ELKO,BC,AUTO,49.28767,-115.15456,775,,,BC_WMB_412,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
417,TOBY HUB,TOBY HUB,BC,AUTO,50.51283,-116.05533,894,,,BC_WMB_417,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
418,FLATHEAD 2,FLATHEAD 2,BC,AUTO,49.07913,-114.53734,1311,,,BC_WMB_418,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
419,JOHNSON LAKE,JOHNSON LAKE,BC,AUTO,49.922,-115.73667,853,,,BC_WMB_419,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
421,DEWAR CREEK,DEWAR CREEK,BC,AUTO,49.7845,-116.383,1608,,,BC_WMB_421,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
425,EMILY CREEK,EMILY CREEK,BC,AUTO,50.14508,-115.97723,1190,,,BC_WMB_425,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
426,CRANBROOK FS,CRANBROOK FS,BC,AUTO,49.6673,-115.848,996,,,BC_WMB_426,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
427,NASS CAMP,NASS CAMP,BC,AUTO,55.28833,-128.99333,191,,,BC_WMB_427,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
428,KISPIOX HUB,KISPIOX HUB,BC,AUTO,55.435,-127.64667,335,,,BC_WMB_428,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
429,CEDARVALE,CEDARVALE,BC,AUTO,55.02667,-128.31333,274,,,BC_WMB_429,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
430,VAN DYKE,VAN DYKE,BC,AUTO,56.01273,-129.09981,296,,,BC_WMB_430,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
431,UPPER KISPIOX,UPPER KISPIOX,BC,AUTO,55.6,-128.04167,410,,,BC_WMB_431,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
432,BELL-IRVING,BELL-IRVING,BC,AUTO,56.34849,-129.29283,388,,,BC_WMB_432,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
433,CRANBERRY,CRANBERRY,BC,AUTO,55.57667,-128.705,500,,,BC_WMB_433,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
437,NOEL,NOEL,BC,AUTO,55.29576,-120.48606,988,,,BC_WMB_437,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
438,ELK MOUNTAIN,ELK MOUNTAIN,BC,AUTO,59.33369,-125.51139,437,,,BC_WMB_438,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
440,FIRESIDE,FIRESIDE,BC,AUTO,59.72267,-127.33514,731,,,BC_WMB_440,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
444,KETCHIKA,KETCHIKA,BC,AUTO,58.72698,-127.12496,687,,,BC_WMB_444,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
445,BOYA LAKE,BOYA LAKE,BC,AUTO,59.36833,-129.11,730,,,BC_WMB_445,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
447,WATSON LAKE FS,WATSON LAKE FS,BC,AUTO,60.06667,-128.70833,800,,,BC_WMB_447,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
45,SALTSPRING 2,SALTSPRING 2,BC,AUTO,48.77395,-123.4735,18,,,BC_WMB_45,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
474,FROTH (WIND),FROTH (WIND),BC,AUTO,52.0105,-119.25502,2153,,,BC_WMB_474,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
503,BAKER EAST/WEST HUB,BAKER EAST/WEST HUB,BC,AUTO,49.45616,-115.62633,2262,,,BC_WMB_503,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
509,BEGBIE SF,BEGBIE SF,BC,AUTO,51.4733333,-121.36,1276,,,BC_WMB_509,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
56,BOWSER,BOWSER,BC,AUTO,49.43682,-124.70223,111,,,BC_WMB_56,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
59,CEDAR,CEDAR,BC,AUTO,49.04762,-123.87473,30,,,BC_WMB_59,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
599,FORT NELSON FS,FORT NELSON FS,BC,AUTO,58.84147,-122.57375,382,,,BC_WMB_599,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
654,HOLY CROSS 2,HOLY CROSS 2,BC,AUTO,53.93597,-124.77672,961,,,BC_WMB_654,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
67,HAIG CAMP,HAIG CAMP,BC,AUTO,49.3806,-121.52597,38,,,BC_WMB_67,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
72,UBC RESEARCH,UBC RESEARCH,BC,AUTO,49.2645,-122.57328,162,,,BC_WMB_72,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
75,TOBA CAMP,TOBA CAMP,BC,AUTO,50.568,-124.073,10,,,BC_WMB_75,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
788,ROUND PRAIRIE,ROUND PRAIRIE,BC,AUTO,50.0867,-114.8997,1647,,,BC_WMB_788,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
789,NEGRO CREEK,NEGRO CREEK,BC,AUTO,49.4539,-115.9872,1572,,,BC_WMB_789,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
790,WHITE RIVER,WHITE RIVER,BC,AUTO,50.185,-115.266,1357,,,BC_WMB_790,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
791,CHERRY LAKE,CHERRY LAKE,BC,AUTO,49.188,-115.542,1372,,,BC_WMB_791,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
793,CARIBOO CREEK,CARIBOO CREEK,BC,AUTO,51.1767,-117.2303,1518,,,BC_WMB_793,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
82,SCAR CREEK,SCAR CREEK,BC,AUTO,51.18908,-125.02807,126,,,BC_WMB_82,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
832,CHURN CREEK,CHURN CREEK,BC,AUTO,51.40272,-122.32017,1100,,,BC_WMB_832,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
836,AUGUST LAKE,AUGUST LAKE,BC,AUTO,49.43348,-120.45712,855,,,BC_WMB_836,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
838,AKOKLI CREEK,AKOKLI CREEK,BC,AUTO,49.4358,-116.7464,821,,,BC_WMB_838,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
865,BRISCO,BRISCO,BC,AUTO,50.8193,-116.2449,930,,,BC_WMB_865,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
866,BLAEBERRY,BLAEBERRY,BC,AUTO,51.4357,-117.0571,861,,,BC_WMB_866,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
868,BIG MOUTH 2,BIG MOUTH 2,BC,AUTO,51.85333,-118.59139,1091,,,BC_WMB_868,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
873,CRAWFORD,CRAWFORD,BC,AUTO,50.765,-117.95778,887,,,BC_WMB_873,PDT,PST,Government of British Columbia: Ministry of Forests,Gouvernement de la Colombie-Britannique: Ministère des Forêts,Observational data provided by the Government of British Columbia: Ministry of Forests (BC-FOR). All rights reserved.,Données d’observation fournies par le Gouvernement de la Colombie-Britannique: Ministère des Forêts (BC-FOR). Tous droits réservés.
